Sample	Test-Sample 1	Test-Sample 2	Test-Sample 3	Test-Sample 4	Test-Sample 5	Test-Sample 6	Test-Sample 7	Test-Sample 8	Test-Sample 9	Test-Sample 10
RPL36P18	7.441997972	7.542552131	7.720175842	7.246873582	7.580710811	7.440786132	8.129447887	7.666671391	7.445014846	7.317864798
RPL37	8.401067231	8.108095766	8.337942961	8.266125935	8.389855012	8.218136964	7.763597477	8.37117113	8.154509289	8.230572903
RPL37A	8.736821317	8.730819942	9.009775442	8.694343956	8.752899087	8.980036728	7.736814554	8.876734869	8.992556021	9.030427127
RPL37AP8	8.326708112	8.070829369	8.451907559	8.287199843	8.348852061	8.328140829	8.623215758	8.325210997	8.219473488	8.397024258
RPL37P2	5.853843488	6.061942487	5.975013342	6.01382847	5.852750461	6.017973114	5.635557066	5.962914509	5.974685321	6.267533925
RPL38	11.97286853	11.95989329	12.53839266	12.02475876	12.13930193	12.24192656	10.35062984	12.04336911	11.95925214	12.11962528
RPL39	12.21276129	12.22994035	12.73739925	12.31940807	12.45660801	12.38305574	9.900910048	12.29410482	12.37918707	12.44036845
RPL39L	5.724039016	5.353337407	5.8106616	5.618547016	5.701931581	5.501703456	6.018792161	5.531939714	5.58473105	5.419164686
RPL3L	7.813736307	7.856581151	7.928003088	7.176422513	7.786544089	7.301541922	8.128984142	7.686339441	7.336685073	7.278114881
RPL4	5.734400729	5.788299409	5.999948152	5.838321521	6.494468414	5.745495509	6.492349939	5.611544222	5.781737388	5.768475482
RPL41	12.42271776	12.40220156	12.37271365	12.54298088	12.50996156	12.41292187	10.11941676	12.42615334	12.28376826	12.48889048
RPL4P4	11.58569963	11.62828148	11.90211504	11.7929692	11.70887265	11.69991942	7.860162044	11.36525619	11.59670691	11.90994182
RPL5	11.53474148	11.9943465	11.39416215	12.13108621	11.62677721	11.99854308	9.839239292	11.70775002	11.83972047	12.24151414
RPL6	11.76671446	12.10174989	11.69332233	12.22652749	11.73978105	12.0649483	9.533178072	11.71525933	11.88457531	12.27789671
RPL7	11.96178811	12.2641924	12.40063773	12.44237477	12.0349621	12.42933543	10.21322707	12.0111486	12.36793327	12.61080371
RPL7AP28	6.563651181	6.118846486	6.373859655	6.327820116	6.521516728	6.356834512	7.102794342	6.32613702	6.504917287	6.087414038
RPL7AP6	8.729511985	8.916261657	8.646144652	8.943976985	8.514489201	8.874883014	7.945092631	8.670015302	8.90239622	9.164401644
RPL7AP66	10.81884577	10.78751082	11.34185236	10.91013301	10.95536657	10.90546222	9.931838155	10.97750175	10.88940509	11.03381528
RPL7AP8	8.465398052	8.357963131	8.507542613	8.44365775	8.412961907	8.347822767	8.609989039	8.337723341	8.433274546	8.417549736
RPL7L1	8.6277965	8.567206972	8.736679281	8.703709817	8.845549639	8.44067818	8.89514506	8.50157051	8.528008633	8.46057057
RPL7L1P1	6.225720304	5.690844477	5.726964693	5.622567289	6.308488298	5.611098591	7.37517848	5.871582481	5.76270227	5.680000783
RPL7L1P11	5.795312398	5.729289005	6.431698168	6.528358774	6.165178349	6.101557636	6.50501279	6.109348021	6.291404643	5.772669554
RPL7L1P4	4.309903756	4.350242631	4.4862703	4.302947762	4.351960416	4.460539445	4.589284107	4.260680593	4.329740737	4.316051587
RPL7L1P5	5.699687656	5.673912531	5.558258449	5.08513568	5.732689789	5.496724378	6.882374047	6.362729368	6.152114447	5.455126627
RPL7L1P8	5.256848381	5.190243473	5.274667945	5.322926815	5.212682167	4.921231604	5.71681809	5.134274341	5.237227173	5.240680682
RPL7P17	8.132874974	7.563707275	8.15078305	7.702304306	8.370805084	7.722049277	9.049802274	7.915437243	7.94629808	7.688054439
RPL7P23	8.098558518	8.192401321	8.568252567	8.19736415	8.050441838	8.304962726	7.556643995	8.059987919	8.170736289	8.264831958
RPL7P26	5.387066085	4.803345878	5.022283468	4.884080138	5.10408081	4.70912518	6.044509967	4.843602022	4.816835188	4.91592239
RPL7P48	7.996857591	7.707580006	8.191454081	7.806394953	7.729301242	7.573154845	9.083934004	7.635224745	7.891285508	7.839021077
RPL7P6	8.902794144	9.08317081	9.276143021	9.23819453	9.054943417	9.056177063	9.264318265	8.820466196	9.32689458	9.580631679
RPL8	12.48262395	13.04612131	12.09498156	12.85962408	12.46147945	12.77244448	8.341763421	12.54223628	12.75100839	13.02499418
RPL9	12.51602451	12.84449094	12.82369525	12.98217102	12.65489081	12.81455893	8.919968235	12.63768822	12.78265709	12.984591
